alim_grp_code;alim_ssgrp_code;alim_ssssgrp_code;alim_grp_nom_fr;alim_ssgrp_nom_fr;
01;0101;000000;entrées et plats composés;salades composées et crudités;
01;0103;010301;entrées et plats composés;plats composés;
01;0103;010302;entrées et plats composés;plats composés;
01;0103;010303;entrées et plats composés;plats composés;
01;0103;010304;entrées et plats composés;plats composés;
01;0103;010305;entrées et plats composés;plats composés;
01;0103;010306;entrées et plats composés;plats composés;
01;0103;010307;entrées et plats composés;plats composés;
01;0103;010308;entrées et plats composés;plats composés;
02;0204;020402;fruits, légumes, légumineuses et oléagineux;fruits;
02;0204;020403;fruits, légumes, légumineuses et oléagineux;fruits;
03;0302;030202;produits céréaliers;pains et viennoiseries;
03;0302;030203;produits céréaliers;pains et viennoiseries;
03;0303;030301;produits céréaliers;céréales de petit-déjeuner et biscuits;
03;0303;030302;produits céréaliers;céréales de petit-déjeuner et biscuits;
03;0303;030303;produits céréaliers;céréales de petit-déjeuner et biscuits;
03;0303;030304;produits céréaliers;céréales de petit-déjeuner et biscuits;biscuits apéritifs
03;0304;000000;produits céréaliers;gâteaux et pâtisseries;
03;0305;030502;produits céréaliers;farines et pâtes à tarte;
04;040;040308;;;
04;0401;000000;;;
04;0403;000000;;;
04;0404;000000;viandes, œufs, poissons;autres produits à base de viande;
04;0410;041003;viandes, œufs, poissons;œufs;
05;0502;050203;lait et produits laitiers;produits laitiers frais et assimilés;
05;0502;050204;lait et produits laitiers;produits laitiers frais et assimilés;
05;0503;000000;;;
08;0000;000000;;;
08;0801;000000;glaces et sorbets;glaces;
08;0803;000000;glaces et sorbets;desserts glacés;
10;1008;000000;aides culinaires et ingrédients divers;denrées destinées à une alimentation particulière;
11;1101;000000;aliments infantiles;laits et boissons infantiles;
11;1102;000000;aliments infantiles;petits pots salés et plats infantiles;
11;1103;000000;aliments infantiles;desserts infantiles;
11;1104;000000;aliments infantiles;céréales et biscuits infantiles;
